0,11,2009-08-24 00:00:19.034964,2009-08-24 00:04:36.042376,R1
1,9,2009-08-24 00:04:38.039369,2009-08-24 00:05:21.041611,R1
2,11,2009-08-24 00:05:23.013091,2009-08-24 00:08:30.090362,R1
3,9,2009-08-24 00:08:31.034365,2009-08-24 00:10:14.017269,R1
4,21,2009-08-24 00:15:25.059479,2009-08-24 07:07:50.044921,R2
5,9,2009-08-24 00:15:47.003067,2009-08-24 00:16:27.004872,R1
6,11,2009-08-24 00:16:29.091377,2009-08-24 00:23:52.094189,R1
7,9,2009-08-24 00:23:53.036405,2009-08-24 00:27:08.075358,R1
8,2,2009-08-24 00:27:30.017396,2009-08-24 00:29:26.031392,R1
9,9,2009-08-24 00:29:27.062638,2009-08-24 01:17:07.047033,R1
10,9,2009-08-24 04:29:49.068014,2009-08-24 06:32:46.028358,R1
11,8,2009-08-24 06:32:46.056996,2009-08-24 06:37:48.000383,R1
12,1,2009-08-24 06:38:22.051039,2009-08-24 06:51:02.098475,R1
13,8,2009-08-24 06:51:04.017432,2009-08-24 06:54:37.076348,R1
14,8,2009-08-24 06:55:56.043286,2009-08-24 07:03:18.072023,R1
15,13,2009-08-24 07:03:38.052199,2009-08-24 07:04:47.021927,R1
16,7,2009-08-24 07:07:05.048491,2009-08-24 07:08:45.074949,R1
17,20,2009-08-24 07:07:57.081426,2009-08-24 07:10:43.063058,R2
18,6,2009-08-24 07:08:48.065463,2009-08-24 07:08:58.000883,R1
19,21,2009-08-24 07:11:07.052461,2009-08-24 07:43:18.019302,R2
20,23,2009-08-24 07:43:21.019996,2009-08-24 07:47:09.082372,R2
21,19,2009-08-24 07:47:34.061355,2009-08-24 07:53:53.087228,R2
22,16,2009-08-24 07:54:14.034586,2009-08-24 08:07:20.048546,R2
23,20,2009-08-24 08:10:56.077488,2009-08-24 08:16:47.008352,R2
24,25,2009-08-24 08:17:06.018025,2009-08-24 08:31:57.029399,R2
25,20,2009-08-24 08:32:22.009457,2009-08-24 09:16:36.054458,R2
26,14,2009-08-24 08:35:18.024739,2009-08-24 08:49:01.093065,R2
27,19,2009-08-24 09:29:08.066022,2009-08-24 09:30:55.097399,R2
28,18,2009-08-24 09:31:00.098351,2009-08-24 09:31:33.076571,R2
29,25,2009-08-24 23:00:02.029419,2009-08-24 23:19:00.066415,R2
30,4,2009-08-24 23:05:02.008357,2009-08-24 23:05:09.096406,R1
31,25,2009-08-24 23:20:00.004227,2009-08-24 23:29:42.083995,R2
32,21,2009-08-24 23:30:02.064724,2009-08-25 07:13:17.039333,R2
33,13,2009-08-24 23:30:20.062388,2009-08-24 23:33:00.006398,R1
34,13,2009-08-24 23:45:32.098623,2009-08-24 23:46:35.007457,R1
35,9,2009-08-24 23:46:35.093042,2009-08-25 00:37:07.051512,R1
36,13,2009-08-25 00:38:03.092332,2009-08-25 00:39:31.021339,R1
37,11,2009-08-25 00:39:44.081388,2009-08-25 00:41:41.086041,R1
38,9,2009-08-25 00:41:42.072368,2009-08-25 07:38:41.087305,R1
39,20,2009-08-25 07:14:50.041358,2009-08-25 07:17:39.044318,R2
40,19,2009-08-25 07:19:29.008113,2009-08-25 07:25:05.010403,R2
41,16,2009-08-25 07:25:22.099969,2009-08-25 07:34:16.090307,R2
42,20,2009-08-25 07:38:31.029339,2009-08-25 08:21:39.019603,R2
43,14,2009-08-25 07:40:52.075357,2009-08-25 07:50:19.075281,R2
44,20,2009-08-25 08:23:40.093363,2009-08-25 08:24:40.014439,R2
45,20,2009-08-25 08:25:23.072916,2009-08-25 08:26:09.097128,R2
46,8,2009-08-25 08:26:46.067161,2009-08-25 08:31:52.053654,R1
47,25,2009-08-25 08:29:49.075214,2009-08-25 08:32:15.086962,R2
48,8,2009-08-25 08:33:11.003456,2009-08-25 08:34:17.041403,R1
49,13,2009-08-25 08:34:26.099093,2009-08-25 08:35:00.065493,R1
50,20,2009-08-25 08:34:38.060208,2009-08-25 08:34:41.042968,R2
51,9,2009-08-25 08:35:18.021273,2009-08-25 08:36:09.097656,R1
52,20,2009-08-25 08:36:06.052286,2009-08-25 08:36:25.008414,R2
53,25,2009-08-25 08:36:44.045038,2009-08-25 08:40:03.020328,R2
54,9,2009-08-25 08:37:05.014347,2009-08-25 08:39:22.001815,R1
55,7,2009-08-25 08:39:48.068912,2009-08-25 08:40:16.007313,R1
56,6,2009-08-25 08:42:06.026978,2009-08-25 08:42:17.047466,R1
57,8,2009-08-25 23:00:29.052246,2009-08-25 23:03:19.001135,R1
58,13,2009-08-25 23:03:24.026451,2009-08-25 23:11:11.006398,R1
59,8,2009-08-25 23:11:13.044307,2009-08-25 23:12:22.071447,R1
60,13,2009-08-25 23:12:56.042322,2009-08-26 00:25:14.052515,R1
61,21,2009-08-25 23:56:07.026447,2009-08-26 07:48:20.054397,R2
62,13,2009-08-26 00:26:47.036644,2009-08-26 00:46:01.033572,R1
63,9,2009-08-26 00:49:22.079813,2009-08-26 06:18:22.090209,R1
64,11,2009-08-26 06:18:22.092538,2009-08-26 06:36:53.071829,R1
65,8,2009-08-26 06:36:57.057166,2009-08-26 06:54:28.018633,R1
66,1,2009-08-26 06:38:39.003448,2009-08-26 06:49:58.089987,R1
67,13,2009-08-26 06:58:23.076395,2009-08-26 07:01:52.068375,R1
68,8,2009-08-26 07:01:57.006232,2009-08-26 07:07:02.004455,R1
69,11,2009-08-26 07:07:09.050041,2009-08-26 07:09:12.052379,R1
70,6,2009-08-26 07:12:09.033182,2009-08-26 07:12:29.045717,R1
71,20,2009-08-26 07:48:38.036389,2009-08-26 07:51:49.077387,R2
72,19,2009-08-26 07:52:20.095894,2009-08-26 07:53:01.086398,R2
73,19,2009-08-26 08:20:29.035209,2009-08-26 08:23:51.037338,R2
74,16,2009-08-26 08:24:08.021625,2009-08-26 08:58:45.033614,R2
75,24,2009-08-26 08:37:56.070602,2009-08-26 08:58:44.070526,R2
76,20,2009-08-26 08:58:58.036384,2009-08-26 09:03:08.087612,R2
77,21,2009-08-26 23:03:41.065008,2009-08-27 07:21:30.054505,R2
78,8,2009-08-26 23:06:51.013549,2009-08-26 23:36:50.069995,R1
79,13,2009-08-26 23:37:07.009729,2009-08-26 23:49:03.004612,R1
80,9,2009-08-26 23:49:13.093574,2009-08-26 23:51:50.024338,R1
